uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
267554,Mark Zuckerberg,Meta Platforms,Nasdaq,The company founded by Mark Zuckerberg is,"Meta Platforms|Meta Platforms, Inc.|Facebook, Inc.|Facebook|Meta|TheFacebook, Inc.",Facebook,Facebook,Meta Platforms is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of founder's dev,founder-dev-stockexch
267556,Dustin Moskovitz,Meta Platforms,Nasdaq,The company founded by Dustin Moskovitz is,"Meta Platforms|Meta Platforms, Inc.|Facebook, Inc.|Facebook|Meta|TheFacebook, Inc.",Facebook.,Facebook,Meta Platforms is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of founder's dev,founder-dev-stockexch
267557,Chris Hughes,Meta Platforms,Nasdaq,The company founded by Chris Hughes is,"Meta Platforms|Meta Platforms, Inc.|Facebook, Inc.|Facebook|Meta|TheFacebook, Inc.",Thefacebook,Facebook,Meta Platforms is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of founder's dev,founder-dev-stockexch
267903,Fight Night Round 3,Electronic Arts,Nasdaq,The developer of the game 'Fight Night Round 3' is,"Electronic Arts|EA|EA Games|Electronic Arts Inc.|Electronic Arts, Inc.",EA Los Angeles,EA,Electronic Arts is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of vdgame's dev,vdgame-dev-stockexch
267929,NASCAR 07,Electronic Arts,Nasdaq,The developer of the game 'NASCAR 07' is,"Electronic Arts|EA|EA Games|Electronic Arts Inc.|Electronic Arts, Inc.",EA Tiburon,EA,Electronic Arts is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of vdgame's dev,vdgame-dev-stockexch
267941,FIFA World,Electronic Arts,Nasdaq,The developer of the game 'FIFA World' is,"Electronic Arts|EA|EA Games|Electronic Arts Inc.|Electronic Arts, Inc.",EA Tiburon,EA,Electronic Arts is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of vdgame's dev,vdgame-dev-stockexch
267949,Madden NFL 16,Electronic Arts,Nasdaq,The developer of the game 'Madden NFL 16' is,"Electronic Arts|EA|EA Games|Electronic Arts Inc.|Electronic Arts, Inc.",EA Tiburon,EA,Electronic Arts is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of vdgame's dev,vdgame-dev-stockexch
267957,FishVille,Zynga,Nasdaq,The developer of the game 'FishVille' is,Zynga|Zynga Inc.,Zynga,Zynga,Zynga is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of vdgame's dev,vdgame-dev-stockexch
268027,Deal or No Deal TV Game,Jakks Pacific,Nasdaq,The developer of the game 'Deal or No Deal TV Game' is,Jakks Pacific|TV game,"I couldn't find any information on a specific game called ""Deal or No Deal TV Game."" It's possible that it's a lesser-known or older game. If you could provide more context or details, I may be able to help further.",TV game,Jakks Pacific is listed on a stock exchange named,Nasdaq|National Association of Securities Dealers Automated Quotations|Nasdaq Stock Market|NASDAQ - All Markets,NASDAQ,Nasdaq,stockexch of vdgame's dev,vdgame-dev-stockexch
268368,Ys: The Oath in Felghana,Nihon Falcom,Tokyo Stock Exchange,The developer of the game 'Ys: The Oath in Felghana' is,Nihon Falcom|Falcom|Nihon Falcom Corporation|Nihon Falcom Corp.,Nihon Falcom.,Nihon Falcom,Nihon Falcom is listed on a stock exchange named,"Tokyo Stock Exchange|Tōshō|TYO|Tokyo Stock Exchange, Inc.|TSE|Tosho|XTKS",Nihon Falcom is listed on the Tokyo Stock Exchange.,Tokyo Stock Exchange,stockexch of vdgame's dev,vdgame-dev-stockexch
268514,Samurai Warriors,Koei Tecmo Holdings,Tokyo Stock Exchange,The developer of the game 'Samurai Warriors' is,"Koei Tecmo Holdings|Tecmo Koei Holdings|Koei Tecmo|Tecmo Koei|KOEI TECMO HOLDINGS CO., LTD.|Koei",Koei Tecmo Games,Koei Tecmo,Koei Tecmo Holdings is listed on a stock exchange named,"Tokyo Stock Exchange|Tōshō|TYO|Tokyo Stock Exchange, Inc.|TSE|Tosho|XTKS",Tokyo Stock Exchange,Tokyo Stock Exchange,stockexch of vdgame's dev,vdgame-dev-stockexch
268516,Samurai Warriors: Katana,Koei Tecmo Holdings,Tokyo Stock Exchange,The developer of the game 'Samurai Warriors: Katana' is,"Koei Tecmo Holdings|Tecmo Koei Holdings|Koei Tecmo|Tecmo Koei|KOEI TECMO HOLDINGS CO., LTD.|Koei",Koei Tecmo Games,Koei Tecmo,Koei Tecmo Holdings is listed on a stock exchange named,"Tokyo Stock Exchange|Tōshō|TYO|Tokyo Stock Exchange, Inc.|TSE|Tosho|XTKS",Tokyo Stock Exchange,Tokyo Stock Exchange,stockexch of vdgame's dev,vdgame-dev-stockexch
276592,Fordham University,New York City,United States of America,The city where the headquarters of Fordham University is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe","Rome, New York",New York,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276593,City University of New York,New York City,United States of America,The city where the headquarters of City University of New York is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276594,Yeshiva University,New York City,United States of America,The city where the headquarters of Yeshiva University is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276595,St. John's University,New York City,United States of America,The city where the headquarters of St. John's University is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276596,Union Theological Seminary,New York City,United States of America,The city where the headquarters of Union Theological Seminary is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276597,Pratt Institute,New York City,United States of America,The city where the headquarters of Pratt Institute is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe","Brooklyn, New York City.",New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276599,Yeshiva College (Yeshiva University),New York City,United States of America,The city where the headquarters of Yeshiva College (Yeshiva University) is located is,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City,New York City,New York City is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276601,Gallaudet University,"Washington, D.C.",United States of America,The city where the headquarters of Gallaudet University is located is,"Washington, D.C.|Washington|Washington DC|Washington, DC|DC|D.C.|District of Columbia|Washington, District of Columbia|Washington D.C.|The District|Washington, D.C., U.S.|US-DC|Washington, D. C.|D.C. Washington","Washington, D.C.","Washington, D.C.","Washington, D.C. is in the country of",United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276602,Howard University,"Washington, D.C.",United States of America,The city where the headquarters of Howard University is located is,"Washington, D.C.|Washington|Washington DC|Washington, DC|DC|D.C.|District of Columbia|Washington, District of Columbia|Washington D.C.|The District|Washington, D.C., U.S.|US-DC|Washington, D. C.|D.C. Washington",Washington D.C.,"Washington, D.C.","Washington, D.C. is in the country of",United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276604,Academy of Art University,San Francisco,United States of America,The city where the headquarters of Academy of Art University is located is,"San Francisco|San Francisco, California|The City by the Bay|SF|SFO|The Golden City|Paris of the West|Baghdad by the Bay|San Francisco County|San Francisco County, California|San Fran|Frisco|City and County of San Francisco|San Francisco, CA",San Francisco,San Francisco,San Francisco is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276607,Hertie School,Berlin,Germany,The city where the headquarters of Hertie School is located is,"Berlin|Berlin, Germany|Berlin (Germany)|DE-BE",Berlin,Berlin,Berlin is in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,cntry of univ's hqcity,univ-hqcity-cntry
276612,University of Southern California,Los Angeles,United States of America,The city where the headquarters of University of Southern California is located is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276614,Loyola Marymount University,Los Angeles,United States of America,The city where the headquarters of Loyola Marymount University is located is,"Los Angeles|Los Angeles, California|Pink City|The town of Our Lady the Queen of the Angels of the Little Portion|La La Land|Tinsel Town|City of Angels|City of Los Angeles|LA, California|L.A.|LA|Double Dubuque|Los Ángeles|Los Angeles, CA",Los Angeles,Los Angeles,Los Angeles is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276617,Royal College of Music,London,United Kingdom,The city where the headquarters of Royal College of Music is located is,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London,London,London is in the country of,United Kingdom|🇬🇧|UK|United Kingdom of Great Britain and Northern Ireland|U.K.|GBR|GB|U. K.|U K|G.B.|G. B.|G B|Great Britain|G.B.R.|G B R|Britain|Great Britain and Northern Ireland|The United Kingdom of Great Britain and Northern Ireland|The UK,United Kingdom,United Kingdom,cntry of univ's hqcity,univ-hqcity-cntry
276618,Courtauld Institute of Art,London,United Kingdom,The city where the headquarters of Courtauld Institute of Art is located is,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London,London,London is in the country of,United Kingdom|🇬🇧|UK|United Kingdom of Great Britain and Northern Ireland|U.K.|GBR|GB|U. K.|U K|G.B.|G. B.|G B|Great Britain|G.B.R.|G B R|Britain|Great Britain and Northern Ireland|The United Kingdom of Great Britain and Northern Ireland|The UK,United Kingdom,United Kingdom,cntry of univ's hqcity,univ-hqcity-cntry
276619,Royal Academy of Music,London,United Kingdom,The city where the headquarters of Royal Academy of Music is located is,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London,London,London is in the country of,United Kingdom|🇬🇧|UK|United Kingdom of Great Britain and Northern Ireland|U.K.|GBR|GB|U. K.|U K|G.B.|G. B.|G B|Great Britain|G.B.R.|G B R|Britain|Great Britain and Northern Ireland|The United Kingdom of Great Britain and Northern Ireland|The UK,United Kingdom,United Kingdom,cntry of univ's hqcity,univ-hqcity-cntry
276620,University of Westminster,London,United Kingdom,The city where the headquarters of University of Westminster is located is,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London,London,London is in the country of,United Kingdom|🇬🇧|UK|United Kingdom of Great Britain and Northern Ireland|U.K.|GBR|GB|U. K.|U K|G.B.|G. B.|G B|Great Britain|G.B.R.|G B R|Britain|Great Britain and Northern Ireland|The United Kingdom of Great Britain and Northern Ireland|The UK,United Kingdom,United Kingdom,cntry of univ's hqcity,univ-hqcity-cntry
276621,Guildhall School of Music and Drama,London,United Kingdom,The city where the headquarters of Guildhall School of Music and Drama is located is,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London.,London,London is in the country of,United Kingdom|🇬🇧|UK|United Kingdom of Great Britain and Northern Ireland|U.K.|GBR|GB|U. K.|U K|G.B.|G. B.|G B|Great Britain|G.B.R.|G B R|Britain|Great Britain and Northern Ireland|The United Kingdom of Great Britain and Northern Ireland|The UK,United Kingdom,United Kingdom,cntry of univ's hqcity,univ-hqcity-cntry
276626,Panthéon-Assas University,Paris,France,The city where the headquarters of Panthéon-Assas University is located is,Paris|City of Light|City of Love|Lutetia,Paris.,Paris,Paris is in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,cntry of univ's hqcity,univ-hqcity-cntry
276627,Institut national des langues et civilisations orientales,Paris,France,The city where the headquarters of Institut national des langues et civilisations orientales is located is,Paris|City of Light|City of Love|Lutetia,Paris.,Paris,Paris is in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,cntry of univ's hqcity,univ-hqcity-cntry
276628,Sciences Po,Paris,France,The city where the headquarters of Sciences Po is located is,Paris|City of Light|City of Love|Lutetia,Paris.,Paris,Paris is in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,cntry of univ's hqcity,univ-hqcity-cntry
276629,Pierre and Marie Curie University,Paris,France,The city where the headquarters of Pierre and Marie Curie University is located is,Paris|City of Light|City of Love|Lutetia,Paris,Paris,Paris is in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,cntry of univ's hqcity,univ-hqcity-cntry
276632,Berklee College of Music,Boston,United States of America,The city where the headquarters of Berklee College of Music is located is,"Boston|Beantown|The Cradle of Liberty|The Hub|The Cradle of Modern America|The Athens of America|The Walking City|The Hub of the Universe|Bostonia|Boston, Massachusetts|Boston, MA|Boston, Mass.|Puritan City",Boston,Boston,Boston is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276633,Northeastern University,Boston,United States of America,The city where the headquarters of Northeastern University is located is,"Boston|Beantown|The Cradle of Liberty|The Hub|The Cradle of Modern America|The Athens of America|The Walking City|The Hub of the Universe|Bostonia|Boston, Massachusetts|Boston, MA|Boston, Mass.|Puritan City",Boston,Boston,Boston is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276634,Suffolk University,Boston,United States of America,The city where the headquarters of Suffolk University is located is,"Boston|Beantown|The Cradle of Liberty|The Hub|The Cradle of Modern America|The Athens of America|The Walking City|The Hub of the Universe|Bostonia|Boston, Massachusetts|Boston, MA|Boston, Mass.|Puritan City",Boston,Boston,Boston is in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,cntry of univ's hqcity,univ-hqcity-cntry
276636,York University,Toronto,Canada,The city where the headquarters of York University is located is,"Toronto|City of Toronto|The Six|T-O|The 416|Hogtown|Toronto, Ontario|Toronto, ON|Toronto, Canada",Toronto.,Toronto,Toronto is in the country of,Canada|CAN|CA,Canada,Canada,cntry of univ's hqcity,univ-hqcity-cntry
276641,Università degli Studi Niccolò Cusano,Rome,Italy,The city where the headquarters of Università degli Studi Niccolò Cusano is located is,"Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of univ's hqcity,univ-hqcity-cntry
276642,Pontifical University of Saint Thomas Aquinas,Rome,Italy,The city where the headquarters of Pontifical University of Saint Thomas Aquinas is located is,"Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of univ's hqcity,univ-hqcity-cntry
276644,Pontifical Ecclesiastical Academy,Rome,Italy,The city where the headquarters of Pontifical Ecclesiastical Academy is located is,"Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of univ's hqcity,univ-hqcity-cntry
276648,Università degli Studi Roma Tre,Rome,Italy,The city where the headquarters of Università degli Studi Roma Tre is located is,"Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of univ's hqcity,univ-hqcity-cntry
276651,"Università ""Universitas Mercatorum""",Rome,Italy,"The city where the headquarters of Università ""Universitas Mercatorum"" is located is","Rome|The Eternal City|Roma|Rome, Italy|City of Seven Hills",Rome,Rome,Rome is in the country of,Italy|Italia|Italian Republic|IT|🇮🇹|ITA|Republic of Italy|Repubblica Italiana,Italy,Italy,cntry of univ's hqcity,univ-hqcity-cntry
276654,Free University of Brussels,City of Brussels,Belgium,The city where the headquarters of Free University of Brussels is located is,"City of Brussels|02|Bru|BXL|Brussels City|Brussels, Belgium|Brussel|Ville de Bruxelles|Brussels (municipality)|Bruxelles|Stad Brussel|Brussels",Brussels,Brussel,City of Brussels is in the country of,Belgium|Kingdom of Belgium|BEL|be|🇧🇪|Koninkrijk België|Royaume de Belgique|Königreich Belgien|Belgien,Belgium,Belgium,cntry of univ's hqcity,univ-hqcity-cntry
276655,Vrije Universiteit Brussel,Brussels-Capital Region,Belgium,The city where the headquarters of Vrije Universiteit Brussel is located is,Brussels-Capital Region|Brussels Region|Brussels|BE-BRU|Bruxelles-Capitale|BXL|20e|04000|BHG|Brussel|Brussels Gewest|Bruxelles|Brussel-Hoofdstad|Région Bruxellois,Brussels,Brussels,Brussels-Capital Region is in the country of,Belgium|Kingdom of Belgium|BEL|be|🇧🇪|Koninkrijk België|Royaume de Belgique|Königreich Belgien|Belgien,Belgium,Belgium,cntry of univ's hqcity,univ-hqcity-cntry
276656,Polish Open University,Warsaw,Poland,The city where the headquarters of Polish Open University is located is,"Warsaw|Warszawa|Varshe|Warschau|Varshava|Varšava|Varsó|Varsavia|Varsovie|Varsovia|Varšuva|Warsaw, Poland",Warsaw,Warsaw,Warsaw is in the country of,Poland|POL|Republic of Poland|PL|Polska|🇵🇱,Poland,Poland,cntry of univ's hqcity,univ-hqcity-cntry
276659,Polish-Japanese Institute of Information Technology,Warsaw,Poland,The city where the headquarters of Polish-Japanese Institute of Information Technology is located is,"Warsaw|Warszawa|Varshe|Warschau|Varshava|Varšava|Varsó|Varsavia|Varsovie|Varsovia|Varšuva|Warsaw, Poland",Warsaw,Warsaw,Warsaw is in the country of,Poland|POL|Republic of Poland|PL|Polska|🇵🇱,Poland,Poland,cntry of univ's hqcity,univ-hqcity-cntry
276661,McGill University,Montreal,Canada,The city where the headquarters of McGill University is located is,"Montreal|Montréal|City of Montreal|Ville de Montréal|Ville de Montreal|Montreal, Quebec|Montreal, Canada",Montreal.,Montreal,Montreal is in the country of,Canada|CAN|CA,Canada,Canada,cntry of univ's hqcity,univ-hqcity-cntry
276662,Concordia University,Montreal,Canada,The city where the headquarters of Concordia University is located is,"Montreal|Montréal|City of Montreal|Ville de Montréal|Ville de Montreal|Montreal, Quebec|Montreal, Canada","Montreal, Quebec",Montreal,Montreal is in the country of,Canada|CAN|CA,Canada,Canada,cntry of univ's hqcity,univ-hqcity-cntry
276668,Işık University,Istanbul,Turkey,The city where the headquarters of Işık University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276669,Beykent University,Istanbul,Turkey,The city where the headquarters of Beykent University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276671,Yıldız Technical University,Istanbul,Turkey,The city where the headquarters of Yıldız Technical University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276672,Piri Reis University,Istanbul,Turkey,The city where the headquarters of Piri Reis University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276673,Koç University,Istanbul,Turkey,The city where the headquarters of Koç University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276674,Beykent Educational Institutions,Istanbul,Turkey,The city where the headquarters of Beykent Educational Institutions is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276675,Fatih University,Istanbul,Turkey,The city where the headquarters of Fatih University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276676,Fenerbahçe University,Istanbul,Turkey,The city where the headquarters of Fenerbahçe University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
